id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,year_issued,default_status
,,8600,8600,800.0, 36 months,16.28,F,F5,Miami Dade College,4 years,RENT,56000.0,Not Verified,Sep-2007,,I recently got divorced and incurred various expenses. I am in desprite need of paying off credit card debt and being able to have some money to eat and put gas. ,debt_consolidation,Help with Emergency Debt,331xx,FL,11.38,2.0,Oct-2000,4.0,13.0,0.0,4.0,0.0,9221,98.1,26.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,500,500,125.0, 36 months,9.01,B,B2,,< 1 year,RENT,2000.0,Not Verified,Oct-2007,,I need this loan to help pay for training in a new job.,other,Loan for Job Training,727xx,AR,0.0,0.0,Feb-2007,6.0,0.0,0.0,2.0,0.0,0,0.0,2.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,7000,7000,75.0, 36 months,12.49,D,D3,The Grove,< 1 year,RENT,23000.0,Not Verified,Sep-2007,,I am wanting to buy an rv to put on my dads property and live in.  I will than be living rent free and will concider my loan payment as rent,other,RV,871xx,NM,5.01,0.0,Aug-2004,3.0,0.0,0.0,3.0,0.0,1061,81.9,4.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,24000,24000,709.15, 36 months,10.59,C,C2,Noyes Memorial Hospital,< 1 year,MORTGAGE,165000.0,Not Verified,Dec-2007,,Pay-off several debts,debt_consolidation,Personal Loan,144xx,NY,18.76,1.0,Feb-1985,4.0,19.0,0.0,22.0,0.0,81617,32.7,45.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,5400,5400,375.0, 36 months,9.33,B,B3,Warren Truck & Trailer,1 year,OWN,42000.0,Not Verified,Dec-2007,,"I have had several unexpected home improvements to make (heater and appliance work) and would like to get a prosper loan to pay off these unexpected purchases instead of getting stuck paying high interest rates to my credit card company.     I have always paid my bills in time and historically have paid 100% of my balance each month.  I believe I should have a higher credit score, however my young age does not help and I utilize a larger portion of my available credit than the credit bureaus like.  This high credit usage is partly from me charging all my company expenses such as fuel, flights, hotels, etc to my personal card and I am reimbursed each month.  I have a good job with good potential to earn even more than I currently bring home. ",credit_card,Consolidate Credit Cards,368xx,AL,16.09,0.0,Oct-2001,0.0,0.0,0.0,11.0,0.0,38054,61.2,12.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,7000,7000,1000.0, 36 months,7.43,A,A2,UPS Supply Chain Solutions,< 1 year,RENT,43000.0,Not Verified,Dec-2007,,"As a supervisor for a fortune 50 company many people who work for me have benefited from micro loans.  These are loans that can be obtained through web sites like LendingClub and Prosper at rates lower rates then traditional brick and mortar financial institutions.     I am looking for you to fund this loan so that I can reinvest in other loans.  With my good credit you can insure your will be repaid.  My good credit will help insure a good rate that provides enough margin for me to invest in other peoples loans with higher rates/risk and still come out clean.  This is a great service that allows you to earn a low risk return and allow me to potential earn a small amount on higher risk loans.  Regardless of the earning potential of reinvestment, I have plenty of liquid assets to cover this loan.",small_business,reinvest,402xx,KY,1.65,0.0,Jan-2000,0.0,0.0,0.0,7.0,0.0,2698,9.5,17.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,10000,10000,975.0, 36 months,13.75,E,E2,,< 1 year,RENT,35000.0,Not Verified,Aug-2007,,I found out this website from Wall Street Journal.  My main goal is to pay off all my credit card debt and start a new life asap.,debt_consolidation,CREDIT CARD DEBT,101xx,NY,17.38,0.0,Mar-2000,0.0,44.0,0.0,10.0,0.0,22213,65.9,22.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,8000,8000,4025.0, 36 months,9.96,B,B5,New England Quality Electric,3 years,OWN,25000.0,Not Verified,Aug-2007,,I would like to buy a car and fix it up to be my daily driver/track car,car,Car loan,069xx,CT,0.48,0.0,Nov-2005,1.0,0.0,0.0,3.0,0.0,316,19.2,3.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,3000,3000,2975.0, 36 months,7.75,A,A3,Impress,10+ years,OWN,125000.0,Not Verified,Aug-2007,,I wish to borrow $3000 to do landscape improvements.,home_improvement,landscape improvement,981xx,WA,2.14,0.0,Sep-1984,0.0,0.0,0.0,15.0,0.0,21050,1.0,24.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,8400,8400,4125.0, 36 months,15.65,F,F3,Fairhaven,8 years,RENT,36000.0,Not Verified,Nov-2007,,I am requesting this loan/amount because I need to pay back my parents the money they loaned me for a down payment on my car.,other,Peronal Loan,217xx,MD,21.5,0.0,Oct-2002,3.0,0.0,0.0,14.0,0.0,3896,34.2,24.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,5000,5000,2700.0, 36 months,8.7,B,B1,RGIS,< 1 year,RENT,28019.52,Not Verified,Oct-2007,,I'm a college student that is working and paying my way through school with no loans and or financial aid. I plan or getting married in feb. and in order to get married I need a dress. I found the one a want but with school and graduation around corner I can't afford it on my own so I need help.,wedding,Dream Wedding dress,323xx,FL,1.8,0.0,Apr-2005,2.0,0.0,0.0,2.0,0.0,827,51.7,2.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,1600,1600,1200.0, 36 months,9.96,B,B5,hunters,10+ years,RENT,18000.0,Not Verified,Nov-2007,,pay medical bills,medical,medical expenses,334xx,FL,10.33,0.0,Nov-1999,1.0,0.0,0.0,2.0,0.0,6646,100.7,3.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,14400,14400,2525.0, 36 months,16.59,G,G1,Best Buy,3 years,MORTGAGE,62000.0,Not Verified,Oct-2007,,"I am requesting a loan here on Lending Club to fund an operation I need to undergo and like so many now in the US, I don't have health insurance!  I hope this community of peer-to-peer lenders understand my situation and consider myself a good credit risk.  I have a perfect payment history with 0 late payments and make plenty to cover the payments of this loan.  I am employed in Retail Management and make about $60,000 a year with approximately $1,300 left each month AFTER paying ALL the bills.  Thank you in advance for your help and consideration!",medical,Don't have Health Insurance...,339xx,FL,24.45,0.0,Apr-2004,4.0,0.0,0.0,14.0,0.0,15783,74.5,17.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,10250,10250,925.0, 36 months,14.38,E,E4,Cuban Medical Association,4 years,RENT,72000.0,Not Verified,Oct-2007,,Looking to Consolidate High Interest Car Loans and Credit Cards. Trying to convert all my payments into ONE. Looking to relieve headaches and stress from making payments every 4 to 5 days.  Thanks,debt_consolidation,Consolidate Car Loans and Credit Cards,331xx,FL,17.83,0.0,Mar-2004,1.0,0.0,0.0,28.0,0.0,3815,6.5,32.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,5600,5600,199.998388596677, 36 months,10.28,C,C1,,< 1 year,RENT,5000.0,Not Verified,Nov-2007,,"I have a 2 month old baby and I am living with my parents. They are kicking me and my baby out. So I need to get an apartment and stuff I need to go within the apartment. I also need a car and get some insurance. Im currently looking for a job so I will pay the money back. I promise. I just need something to get started. If I can't get 7,000 then anything would be a big help. It will be a HUGE help! I will appreciate it very much! Please help me.",moving,Need In a HURRY!,295xx,SC,0.0,0.0,Mar-2007,3.0,0.0,0.0,3.0,0.0,0,0.0,3.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,18500,18500,156.7, 36 months,10.91,C,C3,liberty denim inc,2 years,MORTGAGE,52000.0,Not Verified,Dec-2007,,"I want to reduce high interest credit cards and get this money paid off. We have an household income of 90,000 and have always paid our debts.",credit_card,consolidate,296xx,SC,17.56,1.0,Nov-1985,0.0,17.0,0.0,12.0,0.0,32438,43.0,23.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,20000,20000,225.0, 36 months,11.22,C,C4,US Air Force,10+ years,RENT,38556.0,Not Verified,Dec-2007,,Loan to consolidate debt,debt_consolidation,Debt Consolidation Loan,871xx,NM,14.04,0.0,Jan-2003,3.0,0.0,0.0,8.0,0.0,21777,53.7,14.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,6000,6000,500.0, 36 months,11.86,D,D1,Latin American Health Institute,4 years,RENT,37000.0,Not Verified,Dec-2007,,I'm a master's level professional Latina currently going through the Green Card Process. Unfortunately the fees to apply for Permanent Residence in the U.S. have gone up dramatically and I find myself in need of a loan to be able accomplish this goal.,other,Green,021xx,MA,4.54,0.0,May-2005,0.0,0.0,0.0,6.0,0.0,6232,60.5,8.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,5000,5000,750.0, 36 months,13.75,E,E2,Cicero Solutions,< 1 year,MORTGAGE,100000.0,Not Verified,Aug-2007,,I need to refinance my Bank of America credit card which is at a high interest rate.,credit_card,Refinance high rate credit card,852xx,AZ,6.2,0.0,Feb-2002,10.0,46.0,0.0,5.0,0.0,9501,64.6,6.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,6000,6000,1600.0, 36 months,14.7,E,E5,national employment,1 year,MORTGAGE,22000.0,Not Verified,Aug-2007,,I am lookin g to close out several 'small cards' and newer accounts that have high interest and are hurting my score because of percentage utilized.  I have never paid late and have an excellent job.,debt_consolidation,0 Lates Debt Consolidation. Improve Scre,038xx,NH,20.0,0.0,Jun-2000,19.0,0.0,0.0,17.0,0.0,15782,36.2,17.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,12000,12000,1975.00261035473, 36 months,14.38,E,E4,Ferndale Labs,4 years,MORTGAGE,81600.0,Not Verified,Dec-2007,,Consolidate Debt,debt_consolidation,consolidation,130xx,NY,19.49,0.0,Jul-2001,14.0,37.0,0.0,15.0,0.0,5191,48.1,31.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,1000,1000,850.0, 36 months,15.01,F,F1,Coldwell Banker Gordon Co. Realtors,1 year,RENT,17280.0,Not Verified,Jul-2007,,The purpose of this loan is to pay off high-interest credit cards and close these accounts in order to achieve better credit.,debt_consolidation,Credit Card Payoff,651xx,MO,20.0,0.0,Aug-2004,2.0,0.0,0.0,12.0,0.0,2484,35.4,22.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
,,9000,9000,758.48, 36 months,10.91,C,C3,Snelson Co. inc,< 1 year,RENT,80000.0,Not Verified,Dec-2007,,to pay off a high rate credit card and auto loan,credit_card,consolidate,110xx,NY,17.17,0.0,May-1997,0.0,34.0,0.0,7.0,0.0,7570,82.3,16.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,19950,19950,675.0, 36 months,9.96,B,B5,Massachusetts Institute of Technology,10+ years,MORTGAGE,116000.0,Not Verified,Nov-2007,,"I bought my very first home (a condo) 21 months ago, using all of my savings for the down payment. That left me with no money for furniture, and I owned barely more than a futon. I used my credit card (BoA, 15.5%) to buy  furniture, and would like to pay off this debt quicker with a loan at a lower rate.",credit_card,Pay Credit Card Balance,018xx,MA,13.07,0.0,Jan-1979,0.0,0.0,0.0,7.0,0.0,33989,82.9,16.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,12125,12125,5075.0, 36 months,8.7,B,B1,Northwestern Mutual Life Insurance,10+ years,MORTGAGE,150000.0,Not Verified,Sep-2007,,I have taken on credit card debt with several different cards.  This loan will allow me to consolidate that debt at a significantly lower interest rate.  Thanks Lending Club.,debt_consolidation,Get rid of these cards,115xx,NY,4.8,0.0,Feb-1971,0.0,0.0,0.0,10.0,0.0,61921,39.1,27.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,1000,1000,465.27, 36 months,9.64,B,B4,RPS Dining Service,< 1 year,RENT,5000.0,Not Verified,Dec-2007,,I have a reserve credit account on my bank account ($500) and a credit card ($580) that I need to pay off before they get any more out of hand.  With this loan I will be able to pay them off at a much better interest rate.  These debts have been weighing on my conscience and making a stressful college courseload that much more stressful.,debt_consolidation,Paying off Debt,474xx,IN,18.0,0.0,Aug-2004,2.0,0.0,0.0,5.0,0.0,961,26.0,7.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,3000,3000,2550.0, 36 months,10.28,C,C1,Oracle,2 years,MORTGAGE,200000.0,Not Verified,Jul-2007,,"I bought a few months ago a cool duplex in the fast gentrifying Harlem neigborhood in Manhattan.  The apartment comes with a private roofdeck, which I'd like to improve.  Since Summer is here, I would like to do this now... Lending Club sounds like a great way of getting a loan without having to go through a bank, so I'm curious to see what I can get.  I'm highly educated, professionally successful and financially stable, just interested in exploring alternative financing options.",home_improvement,Roofdeck for my new NYC apartment,100xx,NY,0.0,1.0,Feb-1997,0.0,19.0,0.0,5.0,0.0,0,0.0,8.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
,,10500,10500,225.0, 36 months,11.86,D,D1,Mustang Enterprises,1 year,RENT,50000.0,Not Verified,Sep-2007,,unsecured consolidation loan that will be used to pay off credit cards to help lower monthly payments,debt_consolidation,unsecured consolidation,712xx,LA,13.8,0.0,Sep-2003,5.0,0.0,0.0,16.0,0.0,18927,77.9,26.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,7500,7500,400.0, 36 months,8.07,A,A4,Alliance Financial,1 year,MORTGAGE,150000.0,Not Verified,Aug-2007,,$7500 loan to finish building home.,home_improvement,FOXBORO,023xx,MA,2.72,0.0,May-1993,4.0,0.0,0.0,15.0,0.0,23678,24.4,60.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
,,2100,2100,1825.0, 36 months,7.12,A,A1,,< 1 year,RENT,110000.0,Not Verified,Oct-2007,,Looking to consolidate higher interest rate debt,debt_consolidation,Debt consolidation,024xx,MA,0.22,0.0,May-1963,0.0,0.0,0.0,4.0,0.0,50,0.3,6.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,1400,1400,475.0, 36 months,10.91,C,C3,"Stanford University Libraries, LOCKSS Project",< 1 year,RENT,40000.0,Not Verified,Jun-2007,,"I'm starting full-time work as a programmer with Stanford University in a few weeks, but I need to move  before my first paycheck. Most of the money will go to the deposit and first month's rent on an apartment.",other,Starting a new job in a new city,652xx,MO,8.61,,,,,,,,0,,,f,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
,,12000,12000,1525.0, 36 months,15.96,F,F4,VENSOFT LLC,2 years,RENT,80000.0,Not Verified,Oct-2007,,"I am working as an IT professional in a reputed organization. My wife is pursuing her MS. I can not bear all these expenses at a time. I will be able to pay the amount in installments. I need to pay her term fees and expenses for books and etc. My Annual Income is $80,000. I do have a car loan for which i am paying $250 per month.  Monthly net income: $ 5000  Monthly Expenses: $ 2,800 Housing: $ 600 Insurance: $ 300 Car expenses: $ 250 Utilities: $ 80 Phone, cable, internet: $ 70 Food, entertainment: $ 350 Clothing, household expenses $ 150 Credit cards and other loans: $ 300 Other expenses: $ 700 Total Net Income after Expenses: $ 2,200  This leaves me with $2,200 available to pay back this loan. I will also be setting up automatic monthly payments through my bank account. Thanks in advance for your consideration",educational,Financing for My Wife's Education,314xx,GA,4.61,0.0,Nov-2006,12.0,0.0,0.0,2.0,0.0,339,82.7,3.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
